,League_from,Team_from
212,2.Bundesliga,E. Frankfurt
213,2.Bundesliga,FC Ingolstadt
214,2.Bundesliga,Hamburger SV
215,2.Bundesliga,Hannover 96
216,2.Bundesliga,Hertha BSC
217,2.Bundesliga,Karlsruher SC
218,2.Bundesliga,SC Freiburg
219,2.Bundesliga,SSV Reutlingen
220,2.Bundesliga,VfB Stuttgart
221,2.Bundesliga,VfL Bochum
222,2ª B - Grupo I,RM Castilla
223,2ª B - Grupo III,CA Osasuna B
224,2ª B - Grupo III,FC Barcelona B
225,2ª B - Grupo III,Valencia B
226,3.Liga,FC Bayern II
227,A Grupa - Championship gr.,Ludogorets
228,Allsvenskan,AIK Solna
229,Allsvenskan,Djurgarden
230,Allsvenskan,Elfsborg
231,Allsvenskan,Helsingborg
232,Allsvenskan,IFK Göteborg
233,Allsvenskan,Kalmar FF
234,Allsvenskan,Malmö FF
235,Auf-/Abstiegsrunde NLA/NLB,FC Lugano
236,Botola Pro,RS Berkane
237,Bundesliga,Austria Vienna
238,Bundesliga,RB Salzburg
239,Bundesliga,Rapid Vienna
240,Bundesliga,Sturm Graz
241,Challenge League,Lausanne-Sport
242,Championnat National,FC Metz
243,Championship,Aston Villa
244,Championship,Birmingham
245,Championship,Blackburn
246,Championship,Blackpool
247,Championship,Brentford
248,Championship,Brighton
249,Championship,Bristol City
250,Championship,Burnley
251,Championship,Cardiff
252,Championship,Charlton
253,Championship,Colchester Utd.
254,Championship,Coventry City
255,Championship,Crewe Alexandra
256,Championship,Crystal Palace
257,Championship,Derby
258,Championship,Fulham
259,Championship,Huddersfield
260,Championship,Hull City
261,Championship,Ipswich
262,Championship,Leeds
263,Championship,Leicester
264,Championship,Luton Town
265,Championship,Middlesbrough
266,Championship,Millwall
267,Championship,Newcastle
268,Championship,Norwich
269,Championship,Nottm Forest
270,Championship,Peterborough
271,Championship,Portsmouth
272,Championship,Preston NE
273,Championship,QPR
274,Championship,Reading
275,Championship,Sheff Wed
276,Championship,Sheffield Utd.
277,Championship,Southampton
278,Championship,Stoke City
279,Championship,Sunderland
280,Championship,Swansea
281,Championship,Watford
282,Championship,West Brom
283,Championship,West Ham
284,Championship,Wigan
285,Championship,Wolves
286,Ekstraklasa,Grodzisk
287,Ekstraklasa,Lech Poznan
288,Ekstraklasa,Legia Warszawa
289,Ekstraklasa,Pol. Warsaw
290,Ekstraklasa,Wisla Kraków
291,Eliteserien,Aalesund
292,Eliteserien,FK Lyn
293,Eliteserien,Lilleström SK
294,Eliteserien,Molde FK
295,Eliteserien,Rosenborg BK
296,Eliteserien,SK Brann
297,Eliteserien,Stabaek IF
298,Eliteserien,Tromsø
299,Eliteserien,Valerenga
300,Eliteserien,Viking FK
301,Eredivisie,AFC Ajax
302,Eredivisie,AZ Alkmaar
303,Eredivisie,De Graafschap
304,Eredivisie,FC Groningen
305,Eredivisie,FC Twente
306,Eredivisie,FC Utrecht
307,Eredivisie,Feyenoord
308,Eredivisie,Heerenveen
309,Eredivisie,NEC Nijmegen
310,Eredivisie,PSV Eindhoven
311,Eredivisie,RKC Waalwijk
312,Eredivisie,Roda JC
313,Eredivisie,Sparta R.
314,Eredivisie,VVV-Venlo
315,Eredivisie,Vitesse
316,Eredivisie,Willem II
317,First Division,Bradford City
318,First Division,Coventry City
319,First Division,Crewe Alexandra
320,First Division,Crystal Palace
321,First Division,Derby
322,First Division,Gillingham FC
323,First Division,Ipswich
324,First Division,Leicester
325,First Division,MK Dons
326,First Division,Man City
327,First Division,Millwall
328,First Division,Nottm Forest
329,First Division,Portsmouth
330,First Division,Preston NE
331,First Division,Rotherham Utd.
332,First Division,Sunderland
333,First Division,Watford
334,First Division,West Brom
335,First Division,West Ham
